number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
190,-0.3773796324930365,2026-02-27 15:34:22.020596,2026-02-27 15:34:23.103733,0 days 00:00:01.083137,47,2,3,1548,COMPLETE
191,-0.35787898097054704,2026-02-27 15:34:23.120659,2026-02-27 15:34:24.257853,0 days 00:00:01.137194,48,1,2,1688,COMPLETE
192,-0.3580967653393511,2026-02-27 15:34:24.277704,2026-02-27 15:34:25.220544,0 days 00:00:00.942840,50,1,2,1358,COMPLETE
193,-0.35784696427630935,2026-02-27 15:34:25.237217,2026-02-27 15:34:26.411378,0 days 00:00:01.174161,48,1,2,1703,COMPLETE
194,-0.35791207614066795,2026-02-27 15:34:26.431062,2026-02-27 15:34:27.587524,0 days 00:00:01.156462,48,1,2,1689,COMPLETE
195,-0.35742958080540976,2026-02-27 15:34:27.603803,2026-02-27 15:34:28.614698,0 days 00:00:01.010895,48,1,2,1490,COMPLETE
196,-0.35813847998975,2026-02-27 15:34:28.635852,2026-02-27 15:34:29.429220,0 days 00:00:00.793368,49,1,2,1127,COMPLETE
197,-0.37790251510332346,2026-02-27 15:34:29.447997,2026-02-27 15:34:30.401163,0 days 00:00:00.953166,48,2,2,1342,COMPLETE
198,-0.43121637714654903,2026-02-27 15:34:30.421073,2026-02-27 15:34:31.807123,0 days 00:00:01.386050,50,1,20,2057,COMPLETE
199,-0.35978365102388443,2026-02-27 15:34:31.827074,2026-02-27 15:34:32.879020,0 days 00:00:01.051946,47,1,3,1491,COMPLETE
200,-0.37841247912500053,2026-02-27 15:34:32.898889,2026-02-27 15:34:34.029101,0 days 00:00:01.130212,48,2,2,1679,COMPLETE
201,-0.3578373000628262,2026-02-27 15:34:34.049346,2026-02-27 15:34:35.201429,0 days 00:00:01.152083,48,1,2,1685,COMPLETE
202,-0.4261281233415768,2026-02-27 15:34:35.219849,2026-02-27 15:34:36.264187,0 days 00:00:01.044338,47,8,2,1519,COMPLETE
203,-0.3579649833012154,2026-02-27 15:34:36.283817,2026-02-27 15:34:37.507496,0 days 00:00:01.223679,49,1,2,1766,COMPLETE
204,-0.35793447330061284,2026-02-27 15:34:37.524237,2026-02-27 15:34:38.357314,0 days 00:00:00.833077,47,1,2,1159,COMPLETE
205,-0.36085785548955707,2026-02-27 15:34:38.375373,2026-02-27 15:34:39.771782,0 days 00:00:01.396409,49,1,3,2089,COMPLETE
206,-0.3780617930207059,2026-02-27 15:34:39.791753,2026-02-27 15:34:40.733441,0 days 00:00:00.941688,50,2,2,1365,COMPLETE
207,-0.3578373000628262,2026-02-27 15:34:40.753689,2026-02-27 15:34:41.894308,0 days 00:00:01.140619,48,1,2,1685,COMPLETE
208,-0.3595843871128094,2026-02-27 15:34:41.914383,2026-02-27 15:34:42.956575,0 days 00:00:01.042192,47,1,3,1503,COMPLETE
209,-0.3788139982270552,2026-02-27 15:34:42.971471,2026-02-27 15:34:44.346393,0 days 00:00:01.374922,49,2,2,2047,COMPLETE
210,-0.3592699068691779,2026-02-27 15:34:44.366504,2026-02-27 15:34:45.088434,0 days 00:00:00.721930,48,1,2,1009,COMPLETE
211,-0.35784117762389306,2026-02-27 15:34:45.108795,2026-02-27 15:34:46.276551,0 days 00:00:01.167756,48,1,2,1727,COMPLETE
212,-0.3579868914943833,2026-02-27 15:34:46.293607,2026-02-27 15:34:47.515705,0 days 00:00:01.222098,46,1,2,1781,COMPLETE
213,-0.35764968253237506,2026-02-27 15:34:47.535543,2026-02-27 15:34:48.551084,0 days 00:00:01.015541,49,1,2,1447,COMPLETE
214,-0.35806654961401163,2026-02-27 15:34:48.570593,2026-02-27 15:34:49.513803,0 days 00:00:00.943210,49,1,2,1331,COMPLETE
215,-0.37742054120446344,2026-02-27 15:34:49.533113,2026-02-27 15:34:50.611023,0 days 00:00:01.077910,50,2,2,1537,COMPLETE
216,-0.3601052556142855,2026-02-27 15:34:50.627821,2026-02-27 15:34:51.490064,0 days 00:00:00.862243,48,1,3,1200,COMPLETE
217,-0.36040851787108047,2026-02-27 15:34:51.508352,2026-02-27 15:34:52.612323,0 days 00:00:01.103971,47,1,3,1632,COMPLETE
218,-0.37791669217101226,2026-02-27 15:34:52.630383,2026-02-27 15:34:53.613810,0 days 00:00:00.983427,49,2,2,1426,COMPLETE
219,-0.35797237607927335,2026-02-27 15:34:53.634358,2026-02-27 15:34:54.899269,0 days 00:00:01.264911,48,1,2,1885,COMPLETE
220,-0.35996970601541617,2026-02-27 15:34:54.915930,2026-02-27 15:34:56.007698,0 days 00:00:01.091768,50,1,3,1599,COMPLETE
221,-0.35823639408563457,2026-02-27 15:34:56.027608,2026-02-27 15:34:57.279754,0 days 00:00:01.252146,47,1,2,1859,COMPLETE
222,-0.3584536198978757,2026-02-27 15:34:57.297656,2026-02-27 15:34:58.673518,0 days 00:00:01.375862,48,1,2,2031,COMPLETE
223,-0.35786139866944716,2026-02-27 15:34:58.693320,2026-02-27 15:34:59.863429,0 days 00:00:01.170109,46,1,2,1750,COMPLETE
224,-0.3577319838621304,2026-02-27 15:34:59.882069,2026-02-27 15:35:00.877536,0 days 00:00:00.995467,49,1,2,1433,COMPLETE
225,-0.37784434430333014,2026-02-27 15:35:00.893476,2026-02-27 15:35:01.934911,0 days 00:00:01.041435,49,2,2,1429,COMPLETE
226,-0.3579604586061631,2026-02-27 15:35:01.954739,2026-02-27 15:35:02.819923,0 days 00:00:00.865184,50,1,2,1192,COMPLETE
227,-0.35996970601541617,2026-02-27 15:35:02.836832,2026-02-27 15:35:03.929924,0 days 00:00:01.093092,48,1,3,1599,COMPLETE
228,-0.37810177536642986,2026-02-27 15:35:03.948817,2026-02-27 15:35:04.909289,0 days 00:00:00.960472,47,2,2,1370,COMPLETE
229,-0.3578127520766955,2026-02-27 15:35:04.929687,2026-02-27 15:35:06.092847,0 days 00:00:01.163160,49,1,2,1692,COMPLETE
230,-0.3591765219798616,2026-02-27 15:35:06.109752,2026-02-27 15:35:06.864051,0 days 00:00:00.754299,49,1,2,1016,COMPLETE
231,-0.3579522018242197,2026-02-27 15:35:06.883893,2026-02-27 15:35:08.026577,0 days 00:00:01.142684,48,1,2,1687,COMPLETE
232,-0.35748957160914374,2026-02-27 15:35:08.044450,2026-02-27 15:35:09.056445,0 days 00:00:01.011995,49,1,2,1486,COMPLETE
233,-0.42955206844580013,2026-02-27 15:35:09.076321,2026-02-27 15:35:10.101461,0 days 00:00:01.025140,50,1,19,1463,COMPLETE
234,-0.6667947094298261,2026-02-27 15:35:10.121497,2026-02-27 15:35:10.916786,0 days 00:00:00.795289,49,18,2,1277,COMPLETE
235,-0.35700216311214505,2026-02-27 15:35:10.936700,2026-02-27 15:35:12.032014,0 days 00:00:01.095314,49,1,2,1536,COMPLETE
236,-0.3603501952309318,2026-02-27 15:35:12.049228,2026-02-27 15:35:13.032035,0 days 00:00:00.982807,47,1,3,1429,COMPLETE
237,-0.37671381175583835,2026-02-27 15:35:13.050091,2026-02-27 15:35:13.882799,0 days 00:00:00.832708,49,2,2,1145,COMPLETE
238,-0.3582543591758257,2026-02-27 15:35:13.899613,2026-02-27 15:35:15.228678,0 days 00:00:01.329065,47,1,2,1940,COMPLETE
239,-0.37725648094666553,2026-02-27 15:35:15.248677,2026-02-27 15:35:16.298031,0 days 00:00:01.049354,48,2,3,1521,COMPLETE
240,-0.35823718070602395,2026-02-27 15:35:16.317073,2026-02-27 15:35:17.192752,0 days 00:00:00.875679,46,1,2,1243,COMPLETE
241,-0.35797873224640264,2026-02-27 15:35:17.209711,2026-02-27 15:35:18.425033,0 days 00:00:01.215322,50,1,2,1775,COMPLETE
242,-0.35702103286959436,2026-02-27 15:35:18.444468,2026-02-27 15:35:19.530824,0 days 00:00:01.086356,49,1,2,1561,COMPLETE
243,-0.35696151142074395,2026-02-27 15:35:19.548790,2026-02-27 15:35:20.594002,0 days 00:00:01.045212,49,1,2,1527,COMPLETE
244,-0.35696151142074395,2026-02-27 15:35:20.614093,2026-02-27 15:35:21.658904,0 days 00:00:01.044811,49,1,2,1527,COMPLETE
245,-0.35764937981461575,2026-02-27 15:35:21.679904,2026-02-27 15:35:22.682417,0 days 00:00:01.002513,49,1,2,1446,COMPLETE
246,-0.35772489421633563,2026-02-27 15:35:22.702445,2026-02-27 15:35:23.726787,0 days 00:00:01.024342,49,1,2,1435,COMPLETE
247,-0.35943643960711014,2026-02-27 15:35:23.747044,2026-02-27 15:35:24.402606,0 days 00:00:00.655562,49,1,2,886,COMPLETE
248,-0.3780538434518431,2026-02-27 15:35:24.420003,2026-02-27 15:35:25.374633,0 days 00:00:00.954630,49,2,3,1385,COMPLETE
249,-0.3580056956627626,2026-02-27 15:35:25.394432,2026-02-27 15:35:26.197343,0 days 00:00:00.802911,50,1,2,1123,COMPLETE
250,-0.3776097471126568,2026-02-27 15:35:26.215721,2026-02-27 15:35:27.248828,0 days 00:00:01.033107,49,2,2,1489,COMPLETE
251,-0.360047295473767,2026-02-27 15:35:27.265914,2026-02-27 15:35:28.181313,0 days 00:00:00.915399,49,1,3,1286,COMPLETE
252,-0.357456807309353,2026-02-27 15:35:28.201568,2026-02-27 15:35:29.250494,0 days 00:00:01.048926,50,1,2,1482,COMPLETE
253,-0.3588527169319288,2026-02-27 15:35:29.270965,2026-02-27 15:35:30.035891,0 days 00:00:00.764926,50,1,2,1045,COMPLETE
254,-0.37786919870117563,2026-02-27 15:35:30.056300,2026-02-27 15:35:31.040950,0 days 00:00:00.984650,50,2,3,1427,COMPLETE
255,-0.357299805260831,2026-02-27 15:35:31.060241,2026-02-27 15:35:32.103583,0 days 00:00:01.043342,49,1,2,1509,COMPLETE
256,-0.443158095437424,2026-02-27 15:35:32.122983,2026-02-27 15:35:33.047887,0 days 00:00:00.924904,49,10,2,1333,COMPLETE
257,-0.4149142223279118,2026-02-27 15:35:33.067651,2026-02-27 15:35:33.910898,0 days 00:00:00.843247,50,6,2,1210,COMPLETE
258,-0.3595904814407219,2026-02-27 15:35:33.930880,2026-02-27 15:35:34.975604,0 days 00:00:01.044724,49,1,3,1520,COMPLETE
259,-0.37945015802890103,2026-02-27 15:35:34.995489,2026-02-27 15:35:35.537759,0 days 00:00:00.542270,50,2,2,745,COMPLETE
260,-0.35721420689954164,2026-02-27 15:35:35.558230,2026-02-27 15:35:36.600766,0 days 00:00:01.042536,47,1,2,1518,COMPLETE
261,-0.3601940600664161,2026-02-27 15:35:36.618066,2026-02-27 15:35:37.516359,0 days 00:00:00.898293,47,1,3,1280,COMPLETE
262,-0.35955441599108695,2026-02-27 15:35:37.536101,2026-02-27 15:35:38.272433,0 days 00:00:00.736332,47,1,2,994,COMPLETE
263,-0.37749247615313586,2026-02-27 15:35:38.292117,2026-02-27 15:35:39.305418,0 days 00:00:01.013301,48,2,2,1494,COMPLETE
264,-0.3596192762374487,2026-02-27 15:35:39.325375,2026-02-27 15:35:40.353333,0 days 00:00:01.027958,47,1,3,1506,COMPLETE
265,-0.3579904013341878,2026-02-27 15:35:40.373378,2026-02-27 15:35:41.198514,0 days 00:00:00.825136,49,1,2,1156,COMPLETE
266,-0.41726320422357494,2026-02-27 15:35:41.218882,2026-02-27 15:35:42.155179,0 days 00:00:00.936297,46,2,16,1357,COMPLETE
267,-0.3580021463207729,2026-02-27 15:35:42.175124,2026-02-27 15:35:43.491622,0 days 00:00:01.316498,48,1,2,1919,COMPLETE
268,-0.3597418388226627,2026-02-27 15:35:43.510403,2026-02-27 15:35:44.606266,0 days 00:00:01.095863,50,1,3,1556,COMPLETE
269,-0.377306928673921,2026-02-27 15:35:44.626629,2026-02-27 15:35:45.567377,0 days 00:00:00.940748,48,2,2,1301,COMPLETE
270,-0.3570997517324558,2026-02-27 15:35:45.584255,2026-02-27 15:35:46.650997,0 days 00:00:01.066742,49,1,2,1560,COMPLETE
271,-0.35953419056637154,2026-02-27 15:35:46.671502,2026-02-27 15:35:47.384582,0 days 00:00:00.713080,49,1,2,972,COMPLETE
272,-0.3774350614430104,2026-02-27 15:35:47.401322,2026-02-27 15:35:48.489252,0 days 00:00:01.087930,49,2,3,1551,COMPLETE
273,-0.3580310220915224,2026-02-27 15:35:48.509081,2026-02-27 15:35:49.342476,0 days 00:00:00.833395,50,1,2,1169,COMPLETE
274,-0.3848616040535122,2026-02-27 15:35:49.359175,2026-02-27 15:35:50.323987,0 days 00:00:00.964812,48,1,10,1402,COMPLETE
275,-0.37783923060851654,2026-02-27 15:35:50.340920,2026-02-27 15:35:51.432799,0 days 00:00:01.091879,47,2,2,1591,COMPLETE
276,-0.3610511142785721,2026-02-27 15:35:51.449613,2026-02-27 15:35:52.803369,0 days 00:00:01.353756,49,1,3,2041,COMPLETE
277,-0.35799283169233287,2026-02-27 15:35:52.821160,2026-02-27 15:35:53.741825,0 days 00:00:00.920665,50,1,2,1318,COMPLETE
278,-0.37755850386694684,2026-02-27 15:35:53.759445,2026-02-27 15:35:54.802292,0 days 00:00:01.042847,48,2,2,1559,COMPLETE
279,-0.3583068571736726,2026-02-27 15:35:54.818992,2026-02-27 15:35:55.579392,0 days 00:00:00.760400,49,1,2,1099,COMPLETE
280,-0.4019346725082042,2026-02-27 15:35:55.597000,2026-02-27 15:35:56.832208,0 days 00:00:01.235208,47,1,13,1844,COMPLETE
281,-0.37808737680564447,2026-02-27 15:35:56.849053,2026-02-27 15:35:57.800273,0 days 00:00:00.951220,50,2,3,1381,COMPLETE
282,-0.3576591965860098,2026-02-27 15:35:57.816878,2026-02-27 15:35:58.908245,0 days 00:00:01.091367,48,1,2,1601,COMPLETE
283,-0.3591036762176758,2026-02-27 15:35:58.924588,2026-02-27 15:35:59.583677,0 days 00:00:00.659089,46,1,2,915,COMPLETE
284,-0.3772467143718695,2026-02-27 15:35:59.600606,2026-02-27 15:36:00.631978,0 days 00:00:01.031372,48,2,2,1527,COMPLETE
285,-0.6258859974421742,2026-02-27 15:36:00.649103,2026-02-27 15:36:01.424014,0 days 00:00:00.774911,49,14,3,1203,COMPLETE
286,-0.3581017906121965,2026-02-27 15:36:01.441386,2026-02-27 15:36:02.775289,0 days 00:00:01.333903,47,1,2,1985,COMPLETE
287,-0.36100047188788104,2026-02-27 15:36:02.793386,2026-02-27 15:36:04.006844,0 days 00:00:01.213458,50,1,3,1839,COMPLETE
288,-0.6664660657507845,2026-02-27 15:36:04.023137,2026-02-27 15:36:04.893965,0 days 00:00:00.870828,48,16,2,1385,COMPLETE
289,-0.3773441579658264,2026-02-27 15:36:04.910290,2026-02-27 15:36:05.962613,0 days 00:00:01.052323,49,2,2,1520,COMPLETE
290,-0.357601068473547,2026-02-27 15:36:05.979812,2026-02-27 15:36:07.121622,0 days 00:00:01.141810,47,1,2,1662,COMPLETE
291,-0.3605083555213621,2026-02-27 15:36:07.139026,2026-02-27 15:36:07.899257,0 days 00:00:00.760231,47,1,3,1084,COMPLETE
292,-0.3571341504576084,2026-02-27 15:36:07.916083,2026-02-27 15:36:12.770088,0 days 00:00:04.854005,46,1,2,7572,COMPLETE
293,-0.37845747242222294,2026-02-27 15:36:12.794081,2026-02-27 15:36:13.937188,0 days 00:00:01.143107,46,2,2,1687,COMPLETE
294,-0.4072987816995689,2026-02-27 15:36:13.953898,2026-02-27 15:36:14.485964,0 days 00:00:00.532066,46,1,14,694,COMPLETE
295,-0.3588887925369173,2026-02-27 15:36:14.502692,2026-02-27 15:36:20.211254,0 days 00:00:05.708562,47,1,3,8999,COMPLETE
296,-0.3978946980868793,2026-02-27 15:36:20.228257,2026-02-27 15:36:26.428588,0 days 00:00:06.200331,46,2,11,9917,COMPLETE
297,-0.3574621108207111,2026-02-27 15:36:26.444754,2026-02-27 15:36:30.242112,0 days 00:00:03.797358,48,1,2,5973,COMPLETE
298,-0.35745610309104897,2026-02-27 15:36:30.258731,2026-02-27 15:36:34.126330,0 days 00:00:03.867599,47,1,2,6063,COMPLETE
299,-0.35773313295122616,2026-02-27 15:36:34.149643,2026-02-27 15:36:38.300867,0 days 00:00:04.151224,9,1,2,6356,COMPLETE
300,-0.3778475550035318,2026-02-27 15:36:38.318546,2026-02-27 15:36:43.525195,0 days 00:00:05.206649,47,2,3,8256,COMPLETE
301,-0.3574562142438378,2026-02-27 15:36:43.548920,2026-02-27 15:36:48.142064,0 days 00:00:04.593144,48,1,2,7171,COMPLETE
302,-0.3572264512295893,2026-02-27 15:36:48.165386,2026-02-27 15:36:52.842393,0 days 00:00:04.677007,48,1,2,7322,COMPLETE
303,-0.3784817056471698,2026-02-27 15:36:52.870232,2026-02-27 15:36:57.297426,0 days 00:00:04.427194,33,2,2,7024,COMPLETE
304,-0.3570554270618341,2026-02-27 15:36:57.317477,2026-02-27 15:37:02.420219,0 days 00:00:05.102742,47,1,2,7965,COMPLETE
305,-0.42657383393768455,2026-02-27 15:37:02.442230,2026-02-27 15:37:07.201324,0 days 00:00:04.759094,46,8,3,7528,COMPLETE
306,-0.35716484658796854,2026-02-27 15:37:07.220532,2026-02-27 15:37:11.952993,0 days 00:00:04.732461,47,1,2,7395,COMPLETE
307,-0.47665143328001436,2026-02-27 15:37:11.973035,2026-02-27 15:37:16.550047,0 days 00:00:04.577012,7,12,3,7340,COMPLETE
308,-0.35749610995093817,2026-02-27 15:37:16.568344,2026-02-27 15:37:20.492316,0 days 00:00:03.923972,47,1,2,6074,COMPLETE
309,-0.3780916880408501,2026-02-27 15:37:20.511912,2026-02-27 15:37:25.533818,0 days 00:00:05.021906,46,2,2,7856,COMPLETE
310,-0.3570554625013466,2026-02-27 15:37:25.564307,2026-02-27 15:37:30.545587,0 days 00:00:04.981280,47,1,2,7858,COMPLETE
311,-0.41303473145254604,2026-02-27 15:37:30.565710,2026-02-27 15:37:34.494360,0 days 00:00:03.928650,46,5,3,6089,COMPLETE
312,-0.3570597930436318,2026-02-27 15:37:34.522919,2026-02-27 15:37:39.596270,0 days 00:00:05.073351,47,1,2,7862,COMPLETE
313,-0.3780054316531162,2026-02-27 15:37:39.616457,2026-02-27 15:37:44.688172,0 days 00:00:05.071715,48,2,4,8015,COMPLETE
314,-0.35715306867249524,2026-02-27 15:37:44.713723,2026-02-27 15:37:49.457216,0 days 00:00:04.743493,48,1,2,7417,COMPLETE
315,-0.3570869573319647,2026-02-27 15:37:49.485434,2026-02-27 15:37:54.286493,0 days 00:00:04.801059,45,1,2,7603,COMPLETE
316,-0.35715003611123014,2026-02-27 15:37:54.312962,2026-02-27 15:37:59.041904,0 days 00:00:04.728942,45,1,2,7396,COMPLETE
317,-0.39617657946099893,2026-02-27 15:37:59.067621,2026-02-27 15:38:03.779958,0 days 00:00:04.712337,46,3,3,7408,COMPLETE
318,-0.3780677667201116,2026-02-27 15:38:03.799950,2026-02-27 15:38:08.729346,0 days 00:00:04.929396,46,2,2,7761,COMPLETE
319,-0.3574043600343179,2026-02-27 15:38:08.746794,2026-02-27 15:38:13.359517,0 days 00:00:04.612723,45,1,2,7180,COMPLETE
320,-0.3976405041516252,2026-02-27 15:38:13.379491,2026-02-27 15:38:18.562331,0 days 00:00:05.182840,45,1,12,8174,COMPLETE
321,-0.35930871684580395,2026-02-27 15:38:18.579275,2026-02-27 15:38:23.372034,0 days 00:00:04.792759,45,1,3,7526,COMPLETE
322,-0.3784580495791735,2026-02-27 15:38:23.388594,2026-02-27 15:38:27.783615,0 days 00:00:04.395021,45,2,2,6855,COMPLETE
323,-0.35679544939840957,2026-02-27 15:38:27.800214,2026-02-27 15:38:33.147874,0 days 00:00:05.347660,44,1,2,8407,COMPLETE
324,-0.3588772044582678,2026-02-27 15:38:33.165820,2026-02-27 15:38:38.670543,0 days 00:00:05.504723,44,1,3,8661,COMPLETE
325,-0.3572898097652742,2026-02-27 15:38:38.688587,2026-02-27 15:38:43.372267,0 days 00:00:04.683680,45,1,2,7290,COMPLETE
326,-0.3782348800876013,2026-02-27 15:38:43.392105,2026-02-27 15:38:48.033287,0 days 00:00:04.641182,45,2,2,7286,COMPLETE
327,-0.35900281564449965,2026-02-27 15:38:48.053925,2026-02-27 15:38:53.428405,0 days 00:00:05.374480,44,1,3,8469,COMPLETE
328,-0.3781903059848267,2026-02-27 15:38:53.450240,2026-02-27 15:38:58.328832,0 days 00:00:04.878592,45,2,2,7626,COMPLETE
329,-0.3570613451518615,2026-02-27 15:38:58.347813,2026-02-27 15:39:03.392849,0 days 00:00:05.045036,43,1,2,7944,COMPLETE
330,-0.35704663982658214,2026-02-27 15:39:03.413612,2026-02-27 15:39:08.466516,0 days 00:00:05.052904,43,1,2,7878,COMPLETE
331,-0.3780906914371648,2026-02-27 15:39:08.486911,2026-02-27 15:39:13.674123,0 days 00:00:05.187212,43,2,2,7885,COMPLETE
332,-0.35900970408946264,2026-02-27 15:39:13.694089,2026-02-27 15:39:18.799521,0 days 00:00:05.105432,42,1,3,7960,COMPLETE
333,-0.35708704456813356,2026-02-27 15:39:18.819962,2026-02-27 15:39:23.838600,0 days 00:00:05.018638,43,1,2,7756,COMPLETE
334,-0.35712928804712973,2026-02-27 15:39:23.859185,2026-02-27 15:39:28.746953,0 days 00:00:04.887768,44,1,2,7662,COMPLETE
335,-0.37815338586737035,2026-02-27 15:39:28.766773,2026-02-27 15:39:33.649485,0 days 00:00:04.882712,43,2,3,7670,COMPLETE
336,-0.35683327864982184,2026-02-27 15:39:33.669637,2026-02-27 15:39:39.044446,0 days 00:00:05.374809,43,1,2,8325,COMPLETE
337,-0.35683325136710664,2026-02-27 15:39:39.064203,2026-02-27 15:39:44.383848,0 days 00:00:05.319645,42,1,2,8340,COMPLETE
338,-0.35686126879701346,2026-02-27 15:39:44.403933,2026-02-27 15:39:49.712486,0 days 00:00:05.308553,42,1,2,8344,COMPLETE
339,-0.3900375210039923,2026-02-27 15:39:49.732799,2026-02-27 15:39:55.161852,0 days 00:00:05.429053,41,2,9,8520,COMPLETE
340,-0.42188925213832495,2026-02-27 15:39:55.181983,2026-02-27 15:40:00.419445,0 days 00:00:05.237462,42,1,17,8242,COMPLETE
341,-0.35889931244408524,2026-02-27 15:40:00.436286,2026-02-27 15:40:05.852202,0 days 00:00:05.415916,43,1,3,8412,COMPLETE
342,-0.37788809366913956,2026-02-27 15:40:05.872853,2026-02-27 15:40:11.027335,0 days 00:00:05.154482,42,2,2,8082,COMPLETE
343,-0.396157898764674,2026-02-27 15:40:11.047399,2026-02-27 15:40:15.997488,0 days 00:00:04.950089,43,3,2,7728,COMPLETE
344,-0.3568641440706871,2026-02-27 15:40:16.017465,2026-02-27 15:40:21.345369,0 days 00:00:05.327904,41,1,2,8318,COMPLETE
345,-0.41424322537081776,2026-02-27 15:40:21.365681,2026-02-27 15:40:27.004499,0 days 00:00:05.638818,41,6,2,8837,COMPLETE
346,-0.3588524110799465,2026-02-27 15:40:27.029610,2026-02-27 15:40:32.305067,0 days 00:00:05.275457,42,1,3,8293,COMPLETE
347,-0.35706593981165635,2026-02-27 15:40:32.333137,2026-02-27 15:40:37.410344,0 days 00:00:05.077207,40,1,2,7961,COMPLETE
348,-0.37798411872501286,2026-02-27 15:40:37.438816,2026-02-27 15:40:42.587641,0 days 00:00:05.148825,41,2,3,8065,COMPLETE
349,-0.3619510366104297,2026-02-27 15:40:42.615948,2026-02-27 15:40:47.614180,0 days 00:00:04.998232,40,1,4,7896,COMPLETE
350,-0.37793638149616604,2026-02-27 15:40:47.636415,2026-02-27 15:40:53.096246,0 days 00:00:05.459831,42,2,2,8556,COMPLETE
351,-0.35884339987734143,2026-02-27 15:40:53.125463,2026-02-27 15:40:58.463038,0 days 00:00:05.337575,43,1,3,8323,COMPLETE
352,-0.35685945208556513,2026-02-27 15:40:58.482820,2026-02-27 15:41:03.647571,0 days 00:00:05.164751,40,1,2,8048,COMPLETE
353,-0.3568225916419632,2026-02-27 15:41:03.668246,2026-02-27 15:41:08.873944,0 days 00:00:05.205698,40,1,2,8154,COMPLETE
354,-0.37788147879879896,2026-02-27 15:41:08.892595,2026-02-27 15:41:14.081348,0 days 00:00:05.188753,39,2,2,8102,COMPLETE
355,-0.35897780757316944,2026-02-27 15:41:14.109577,2026-02-27 15:41:19.713390,0 days 00:00:05.603813,41,1,3,8839,COMPLETE
356,-0.43635622242475003,2026-02-27 15:41:19.735107,2026-02-27 15:41:24.710831,0 days 00:00:04.975724,40,9,2,7831,COMPLETE
357,-0.3568121617111252,2026-02-27 15:41:24.739006,2026-02-27 15:41:29.985556,0 days 00:00:05.246550,38,1,2,8177,COMPLETE
358,-0.3779500424137998,2026-02-27 15:41:30.012022,2026-02-27 15:41:35.217756,0 days 00:00:05.205734,38,2,2,8055,COMPLETE
359,-0.3589102764958917,2026-02-27 15:41:35.246614,2026-02-27 15:41:40.593482,0 days 00:00:05.346868,39,1,3,8411,COMPLETE
360,-0.3568787361966777,2026-02-27 15:41:40.614063,2026-02-27 15:41:45.959451,0 days 00:00:05.345388,38,1,2,8228,COMPLETE
361,-0.35686502194586245,2026-02-27 15:41:45.979854,2026-02-27 15:41:51.276013,0 days 00:00:05.296159,38,1,2,8270,COMPLETE
362,-0.35682251288979766,2026-02-27 15:41:51.297530,2026-02-27 15:41:56.654692,0 days 00:00:05.357162,40,1,2,8244,COMPLETE
363,-0.6624055281680254,2026-02-27 15:41:56.674970,2026-02-27 15:42:01.371233,0 days 00:00:04.696263,38,15,2,8199,COMPLETE
364,-0.411519272755078,2026-02-27 15:42:01.392395,2026-02-27 15:42:06.841660,0 days 00:00:05.449265,36,1,15,8638,COMPLETE
365,-0.37787542725881096,2026-02-27 15:42:06.861733,2026-02-27 15:42:12.171476,0 days 00:00:05.309743,37,2,3,8323,COMPLETE
366,-0.3570339237692958,2026-02-27 15:42:12.191567,2026-02-27 15:42:17.277966,0 days 00:00:05.086399,40,1,2,7975,COMPLETE
367,-0.6674861726072042,2026-02-27 15:42:17.298435,2026-02-27 15:42:21.868586,0 days 00:00:04.570151,40,19,2,7998,COMPLETE
368,-0.37786683162462653,2026-02-27 15:42:21.885404,2026-02-27 15:42:27.117880,0 days 00:00:05.232476,38,2,3,8176,COMPLETE
369,-0.35685101152474363,2026-02-27 15:42:27.135383,2026-02-27 15:42:32.558273,0 days 00:00:05.422890,39,1,2,8503,COMPLETE
370,-0.35669025331896476,2026-02-27 15:42:32.574918,2026-02-27 15:42:38.209514,0 days 00:00:05.634596,39,1,2,8799,COMPLETE
371,-0.3779786474086033,2026-02-27 15:42:38.228119,2026-02-27 15:42:43.588029,0 days 00:00:05.359910,39,2,3,8490,COMPLETE
372,-0.35668042538849465,2026-02-27 15:42:43.605310,2026-02-27 15:42:49.145270,0 days 00:00:05.539960,38,1,2,8747,COMPLETE
373,-0.35637337127977825,2026-02-27 15:42:49.162692,2026-02-27 15:42:55.211929,0 days 00:00:06.049237,37,1,2,9539,COMPLETE
374,-0.3779537241241142,2026-02-27 15:42:55.237334,2026-02-27 15:43:00.893230,0 days 00:00:05.655896,36,2,2,8858,COMPLETE
375,-0.356438347464947,2026-02-27 15:43:00.917174,2026-02-27 15:43:07.045460,0 days 00:00:06.128286,38,1,2,9500,COMPLETE
376,-0.3585978375988469,2026-02-27 15:43:07.062049,2026-02-27 15:43:13.000966,0 days 00:00:05.938917,36,1,3,9394,COMPLETE
377,-0.3682018374049269,2026-02-27 15:43:13.021684,2026-02-27 15:43:18.651694,0 days 00:00:05.630010,37,1,7,8846,COMPLETE
378,-0.37778576345763437,2026-02-27 15:43:18.671759,2026-02-27 15:43:24.724625,0 days 00:00:06.052866,38,2,2,9493,COMPLETE
379,-0.35638253446154544,2026-02-27 15:43:24.752926,2026-02-27 15:43:30.648877,0 days 00:00:05.895951,38,1,2,9192,COMPLETE
380,-0.3585951985611183,2026-02-27 15:43:30.669624,2026-02-27 15:43:36.657691,0 days 00:00:05.988067,39,1,3,9389,COMPLETE
